======================================================================
Latent COT Dynamical Systems Analysis
======================================================================
Output directory: results\coconut_gpt2\20260415_164805

[Step 1] Loading model...
Loaded coconut model from checkpoints/coconut

[Step 2] Running inference on dataset...
Map:   0%|          | 0/1319 [00:00<?, ? examples/s]Map: 100%|##########| 1319/1319 [00:00<00:00, 54680.92 examples/s]

GSM8K concept distribution (full test split, 1319 rows):
  Geometry                      : 21
  Rates & Speed                 : 105
  Percentages & Ratios          : 188
  Money & Pricing               : 423
  Fractions & Decimals          : 172
  Multiplication & Division     : 25
  Arithmetic & Multi-step       : 385
  WARNING: concept 'Geometry' has only 21 samples (quota=500); using all 21
  WARNING: concept 'Rates & Speed' has only 105 samples (quota=500); using all 105
  WARNING: concept 'Percentages & Ratios' has only 188 samples (quota=500); using all 188
  WARNING: concept 'Money & Pricing' has only 423 samples (quota=500); using all 423
  WARNING: concept 'Fractions & Decimals' has only 172 samples (quota=500); using all 172
  WARNING: concept 'Multiplication & Division' has only 25 samples (quota=500); using all 25
  WARNING: concept 'Arithmetic & Multi-step' has only 385 samples (quota=500); using all 385

Stratified sample counts (total=1319):
  Geometry                      : 21
  Rates & Speed                 : 105
  Percentages & Ratios          : 188
  Money & Pricing               : 423
  Fractions & Decimals          : 172
  Multiplication & Division     : 25
  Arithmetic & Multi-step       : 385
[1/1319] Label=Arithmetic & Multi-step      Expected=4.0, Predicted=3.0, Correct=False, Latent shape=torch.Size([6, 768])
[13/1319] Label=Money & Pricing              Expected=100.0, Predicted=1950.0, Correct=False, Latent shape=torch.Size([6, 768])
[14/1319] Label=Arithmetic & Multi-step      Expected=15.0, Predicted=15.0, Correct=True, Latent shape=torch.Size([6, 768])
[15/1319] Label=Arithmetic & Multi-step      Expected=6.0, Predicted=7.0, Correct=False, Latent shape=torch.Size([6, 768])
[16/1319] Label=Arithmetic & Multi-step      Expected=153.0, Predicted=201.0, Correct=False, Latent shape=torch.Size([6, 768])
[17/1319] Label=Money & Pricing              Expected=5.0, Predicted=4.0, Correct=False, Latent shape=torch.Size([6, 768])
[18/1319] Label=Percentages & Ratios         Expected=1000.0, Predicted=600.0, Correct=False, Latent shape=torch.Size([6, 768])
[19/1319] Label=Arithmetic & Multi-step      Expected=360.0, Predicted=120.0, Correct=False, Latent shape=torch.Size([6, 768])
[20/1319] Label=Money & Pricing              Expected=75.0, Predicted=8.0, Correct=False, Latent shape=torch.Size([6, 768])
[21/1319] Label=Arithmetic & Multi-step      Expected=8.0, Predicted=4.0, Correct=False, Latent shape=torch.Size([6, 768])
[22/1319] Label=Arithmetic & Multi-step      Expected=11.0, Predicted=11.0, Correct=True, Latent shape=torch.Size([6, 768])
[23/1319] Label=Arithmetic & Multi-step      Expected=26.0, Predicted=74.0, Correct=False, Latent shape=torch.Size([6, 768])
[24/1319] Label=Rates & Speed                Expected=460.0, Predicted=520.0, Correct=False, Latent shape=torch.Size([6, 768])
[25/1319] Label=Fractions & Decimals         Expected=11.0, Predicted=11.0, Correct=True, Latent shape=torch.Size([6, 768])
[26/1319] Label=Arithmetic & Multi-step      Expected=600.0, Predicted=600.0, Correct=True, Latent shape=torch.Size([6, 768])
[27/1319] Label=Percentages & Ratios         Expected=15.0, Predicted=-60.0, Correct=False, Latent shape=torch.Size([6, 768])
[28/1319] Label=Fractions & Decimals         Expected=75.0, Predicted=345.0, Correct=False, Latent shape=torch.Size([6, 768])
[29/1319] Label=Money & Pricing              Expected=26.0, Predicted=17.0, Correct=False, Latent shape=torch.Size([6, 768])
[30/1319] Label=Money & Pricing              Expected=4.0, Predicted=4.0, Correct=True, Latent shape=torch.Size([6, 768])
[31/1319] Label=Money & Pricing              Expected=5.0, Predicted=5.0, Correct=True, Latent shape=torch.Size([6, 768])
[32/1319] Label=Money & Pricing              Expected=50.0, Predicted=15.0, Correct=False, Latent shape=torch.Size([6, 768])
[33/1319] Label=Arithmetic & Multi-step      Expected=450.0, Predicted=225.0, Correct=False, Latent shape=torch.Size([6, 768])
[34/1319] Label=Percentages & Ratios         Expected=57.0, Predicted=56.0, Correct=False, Latent shape=torch.Size([6, 768])
[35/1319] Label=Money & Pricing              Expected=3.0, Predicted=2.5, Correct=False, Latent shape=torch.Size([6, 768])
[36/1319] Label=Percentages & Ratios         Expected=16.0, Predicted=13.8, Correct=False, Latent shape=torch.Size([6, 768])
[37/1319] Label=Percentages & Ratios         Expected=78.0, Predicted=114.0, Correct=False, Latent shape=torch.Size([6, 768])
[38/1319] Label=Money & Pricing              Expected=32.0, Predicted=4.0, Correct=False, Latent shape=torch.Size([6, 768])
[39/1319] Label=Percentages & Ratios         Expected=95200.0, Predicted=56000.0, Correct=False, Latent shape=torch.Size([6, 768])
[40/1319] Label=Rates & Speed                Expected=2.0, Predicted=0.75, Correct=False, Latent shape=torch.Size([6, 768])
[41/1319] Label=Money & Pricing              Expected=55.0, Predicted=35.0, Correct=False, Latent shape=torch.Size([6, 768])
[42/1319] Label=Arithmetic & Multi-step      Expected=15.0, Predicted=12.5, Correct=False, Latent shape=torch.Size([6, 768])
[43/1319] Label=Money & Pricing              Expected=2100.0, Predicted=900.0, Correct=False, Latent shape=torch.Size([6, 768])
[44/1319] Label=Percentages & Ratios         Expected=35.0, Predicted=10.0, Correct=False, Latent shape=torch.Size([6, 768])
[45/1319] Label=Percentages & Ratios         Expected=12.0, Predicted=18.0, Correct=False, Latent shape=torch.Size([6, 768])
[46/1319] Label=Arithmetic & Multi-step      Expected=156.0, Predicted=208.0, Correct=False, Latent shape=torch.Size([6, 768])
[47/1319] Label=Money & Pricing              Expected=3000.0, Predicted=9000.0, Correct=False, Latent shape=torch.Size([6, 768])
[48/1319] Label=Money & Pricing              Expected=16.0, Predicted=35.0, Correct=False, Latent shape=torch.Size([6, 768])
[49/1319] Label=Fractions & Decimals         Expected=2.0, Predicted=2.0, Correct=True, Latent shape=torch.Size([6, 768])
[50/1319] Label=Percentages & Ratios         Expected=60.0, Predicted=60.0, Correct=True, Latent shape=torch.Size([6, 768])
[51/1319] Label=Percentages & Ratios         Expected=11.0, Predicted=7.5, Correct=False, Latent shape=torch.Size([6, 768])
[52/1319] Label=Money & Pricing              Expected=64800.0, Predicted=24000.0, Correct=False, Latent shape=torch.Size([6, 768])
[53/1319] Label=Fractions & Decimals         Expected=188.0, Predicted=147.0, Correct=False, Latent shape=torch.Size([6, 768])
[54/1319] Label=Money & Pricing              Expected=3.0, Predicted=6.0, Correct=False, Latent shape=torch.Size([6, 768])
[55/1319] Label=Money & Pricing              Expected=5.0, Predicted=4.0, Correct=False, Latent shape=torch.Size([6, 768])
[56/1319] Label=Rates & Speed                Expected=860.0, Predicted=400.0, Correct=False, Latent shape=torch.Size([6, 768])
[57/1319] Label=Percentages & Ratios         Expected=129200.0, Predicted=123600.0, Correct=False, Latent shape=torch.Size([6, 768])
[58/1319] Label=Fractions & Decimals         Expected=2.0, Predicted=5.0, Correct=False, Latent shape=torch.Size([6, 768])
[59/1319] Label=Percentages & Ratios         Expected=90.0, Predicted=90.0, Correct=True, Latent shape=torch.Size([6, 768])
[60/1319] Label=Arithmetic & Multi-step      Expected=21.0, Predicted=28.0, Correct=False, Latent shape=torch.Size([6, 768])
[61/1319] Label=Money & Pricing              Expected=150.0, Predicted=67.0, Correct=False, Latent shape=torch.Size([6, 768])
[62/1319] Label=Arithmetic & Multi-step      Expected=665.0, Predicted=715.0, Correct=False, Latent shape=torch.Size([6, 768])
[63/1319] Label=Arithmetic & Multi-step      Expected=315.0, Predicted=405.0, Correct=False, Latent shape=torch.Size([6, 768])
[64/1319] Label=Arithmetic & Multi-step      Expected=14.0, Predicted=28.0, Correct=False, Latent shape=torch.Size([6, 768])
[65/1319] Label=Arithmetic & Multi-step      Expected=30.0, Predicted=30.0, Correct=True, Latent shape=torch.Size([6, 768])
[66/1319] Label=Money & Pricing              Expected=156.0, Predicted=120.0, Correct=False, Latent shape=torch.Size([6, 768])
[67/1319] Label=Arithmetic & Multi-step      Expected=23.0, Predicted=31.0, Correct=False, Latent shape=torch.Size([6, 768])
[68/1319] Label=Arithmetic & Multi-step      Expected=9.0, Predicted=9.0, Correct=True, Latent shape=torch.Size([6, 768])
[69/1319] Label=Multiplication & Division    Expected=450.0, Predicted=400.0, Correct=False, Latent shape=torch.Size([6, 768])
[70/1319] Label=Percentages & Ratios         Expected=385000.0, Predicted=42000.0, Correct=False, Latent shape=torch.Size([6, 768])
[71/1319] Label=Arithmetic & Multi-step      Expected=15.0, Predicted=45.0, Correct=False, Latent shape=torch.Size([6, 768])
[72/1319] Label=Arithmetic & Multi-step      Expected=83.0, Predicted=28.0, Correct=False, Latent shape=torch.Size([6, 768])
[73/1319] Label=Money & Pricing              Expected=350.0, Predicted=1300.0, Correct=False, Latent shape=torch.Size([6, 768])
[74/1319] Label=Rates & Speed                Expected=2.0, Predicted=8.0, Correct=False, Latent shape=torch.Size([6, 768])
[75/1319] Label=Money & Pricing              Expected=36.0, Predicted=36.0, Correct=True, Latent shape=torch.Size([6, 768])
[76/1319] Label=Geometry                     Expected=4.0, Predicted=180.0, Correct=False, Latent shape=torch.Size([6, 768])
[77/1319] Label=Money & Pricing              Expected=12.0, Predicted=16.05, Correct=False, Latent shape=torch.Size([6, 768])
[78/1319] Label=Money & Pricing              Expected=575.0, Predicted=525.0, Correct=False, Latent shape=torch.Size([6, 768])
[79/1319] Label=Rates & Speed                Expected=10.0, Predicted=12.0, Correct=False, Latent shape=torch.Size([6, 768])
[80/1319] Label=Fractions & Decimals         Expected=105.0, Predicted=45.0, Correct=False, Latent shape=torch.Size([6, 768])
[81/1319] Label=Rates & Speed                Expected=80.0, Predicted=80.0, Correct=True, Latent shape=torch.Size([6, 768])
[82/1319] Label=Money & Pricing              Expected=235.0, Predicted=225.0, Correct=False, Latent shape=torch.Size([6, 768])
[83/1319] Label=Arithmetic & Multi-step      Expected=189.0, Predicted=5.25, Correct=False, Latent shape=torch.Size([6, 768])
[84/1319] Label=Money & Pricing              Expected=70.0, Predicted=70.0, Correct=True, Latent shape=torch.Size([6, 768])
[85/1319] Label=Arithmetic & Multi-step      Expected=2.0, Predicted=2.5, Correct=False, Latent shape=torch.Size([6, 768])
[86/1319] Label=Percentages & Ratios         Expected=24.0, Predicted=24.0, Correct=True, Latent shape=torch.Size([6, 768])
[87/1319] Label=Arithmetic & Multi-step      Expected=18.0, Predicted=18.0, Correct=True, Latent shape=torch.Size([6, 768])
[88/1319] Label=Rates & Speed                Expected=2.0, Predicted=2.0, Correct=True, Latent shape=torch.Size([6, 768])
[89/1319] Label=Rates & Speed                Expected=6.0, Predicted=0.27, Correct=False, Latent shape=torch.Size([6, 768])
[90/1319] Label=Arithmetic & Multi-step      Expected=12.0, Predicted=30.0, Correct=False, Latent shape=torch.Size([6, 768])
[91/1319] Label=Percentages & Ratios         Expected=44.0, Predicted=44.0, Correct=True, Latent shape=torch.Size([6, 768])
[92/1319] Label=Arithmetic & Multi-step      Expected=2.0, Predicted=2.0, Correct=True, Latent shape=torch.Size([6, 768])
[93/1319] Label=Money & Pricing              Expected=180.0, Predicted=60.0, Correct=False, Latent shape=torch.Size([6, 768])
[94/1319] Label=Fractions & Decimals         Expected=9.0, Predicted=9.0, Correct=True, Latent shape=torch.Size([6, 768])
[95/1319] Label=Percentages & Ratios         Expected=36.0, Predicted=36.0, Correct=True, Latent shape=torch.Size([6, 768])
[96/1319] Label=Arithmetic & Multi-step      Expected=260.0, Predicted=130.0, Correct=False, Latent shape=torch.Size([6, 768])
[97/1319] Label=Rates & Speed                Expected=205.0, Predicted=195.0, Correct=False, Latent shape=torch.Size([6, 768])
[98/1319] Label=Money & Pricing              Expected=1920.0, Predicted=960.0, Correct=False, Latent shape=torch.Size([6, 768])
[99/1319] Label=Arithmetic & Multi-step      Expected=60.0, Predicted=66.0, Correct=False, Latent shape=torch.Size([6, 768])
[100/1319] Label=Money & Pricing              Expected=1.0, Predicted=15.0, Correct=False, Latent shape=torch.Size([6, 768])
[101/1319] Label=Money & Pricing              Expected=60.0, Predicted=60.0, Correct=True, Latent shape=torch.Size([6, 768])
[102/1319] Label=Money & Pricing              Expected=10.0, Predicted=10.0, Correct=True, Latent shape=torch.Size([6, 768])
[103/1319] Label=Rates & Speed                Expected=255.0, Predicted=375.0, Correct=False, Latent shape=torch.Size([6, 768])
[104/1319] Label=Percentages & Ratios         Expected=42.0, Predicted=102.85, Correct=False, Latent shape=torch.Size([6, 768])
[105/1319] Label=Arithmetic & Multi-step      Expected=525.0, Predicted=-16200.0, Correct=False, Latent shape=torch.Size([6, 768])
[106/1319] Label=Arithmetic & Multi-step      Expected=48.0, Predicted=32.0, Correct=False, Latent shape=torch.Size([6, 768])
[107/1319] Label=Money & Pricing              Expected=110.0, Predicted=120.0, Correct=False, Latent shape=torch.Size([6, 768])
[108/1319] Label=Fractions & Decimals         Expected=428.0, Predicted=472.0, Correct=False, Latent shape=torch.Size([6, 768])
[109/1319] Label=Arithmetic & Multi-step      Expected=21.0, Predicted=21.0, Correct=True, Latent shape=torch.Size([6, 768])
[110/1319] Label=Rates & Speed                Expected=6.0, Predicted=6.0, Correct=True, Latent shape=torch.Size([6, 768])
[111/1319] Label=Arithmetic & Multi-step      Expected=160.0, Predicted=160.0, Correct=True, Latent shape=torch.Size([6, 768])
[112/1319] Label=Multiplication & Division    Expected=5600.0, Predicted=5000.0, Correct=False, Latent shape=torch.Size([6, 768])
[113/1319] Label=Multiplication & Division    Expected=40.0, Predicted=40.0, Correct=True, Latent shape=torch.Size([6, 768])
[114/1319] Label=Fractions & Decimals         Expected=120000.0, Predicted=118.5, Correct=False, Latent shape=torch.Size([6, 768])
[115/1319] Label=Arithmetic & Multi-step      Expected=5.0, Predicted=3.25, Correct=False, Latent shape=torch.Size([6, 768])
[116/1319] Label=Money & Pricing              Expected=7000.0, Predicted=45000.0, Correct=False, Latent shape=torch.Size([6, 768])
[117/1319] Label=Money & Pricing              Expected=12.0, Predicted=12.0, Correct=True, Latent shape=torch.Size([6, 768])
[118/1319] Label=Money & Pricing              Expected=3.0, Predicted=12.0, Correct=False, Latent shape=torch.Size([6, 768])
[119/1319] Label=Percentages & Ratios         Expected=1248.0, Predicted=1440.0, Correct=False, Latent shape=torch.Size([6, 768])
[120/1319] Label=Percentages & Ratios         Expected=1430.0, Predicted=1330.0, Correct=False, Latent shape=torch.Size([6, 768])
[121/1319] Label=Percentages & Ratios         Expected=40.0, Predicted=5.0, Correct=False, Latent shape=torch.Size([6, 768])
[122/1319] Label=Arithmetic & Multi-step      Expected=50.0, Predicted=60.0, Correct=False, Latent shape=torch.Size([6, 768])
[123/1319] Label=Money & Pricing              Expected=8.0, Predicted=8.0, Correct=True, Latent shape=torch.Size([6, 768])
[124/1319] Label=Percentages & Ratios         Expected=4400.0, Predicted=140.0, Correct=False, Latent shape=torch.Size([6, 768])
[125/1319] Label=Arithmetic & Multi-step      Expected=3.0, Predicted=0.15, Correct=False, Latent shape=torch.Size([6, 768])
[126/1319] Label=Arithmetic & Multi-step      Expected=15.0, Predicted=15.0, Correct=True, Latent shape=torch.Size([6, 768])
[127/1319] Label=Arithmetic & Multi-step      Expected=6.0, Predicted=0.0, Correct=False, Latent shape=torch.Size([6, 768])
[128/1319] Label=Fractions & Decimals         Expected=10.0, Predicted=10.0, Correct=True, Latent shape=torch.Size([6, 768])
[129/1319] Label=Money & Pricing              Expected=3.0, Predicted=5.0, Correct=False, Latent shape=torch.Size([6, 768])
[130/1319] Label=Percentages & Ratios         Expected=32.0, Predicted=28.67, Correct=False, Latent shape=torch.Size([6, 768])
[131/1319] Label=Fractions & Decimals         Expected=29.0, Predicted=31.0, Correct=False, Latent shape=torch.Size([6, 768])
[132/1319] Label=Percentages & Ratios         Expected=50.0, Predicted=38.89, Correct=False, Latent shape=torch.Size([6, 768])
[133/1319] Label=Money & Pricing              Expected=8.0, Predicted=8.0, Correct=True, Latent shape=torch.Size([6, 768])
[134/1319] Label=Percentages & Ratios         Expected=50.0, Predicted=30.0, Correct=False, Latent shape=torch.Size([6, 768])
[135/1319] Label=Money & Pricing              Expected=6.0, Predicted=6.0, Correct=True, Latent shape=torch.Size([6, 768])
[136/1319] Label=Money & Pricing              Expected=28.0, Predicted=28.0, Correct=True, Latent shape=torch.Size([6, 768])
[137/1319] Label=Money & Pricing              Expected=17.0, Predicted=17.5, Correct=False, Latent shape=torch.Size([6, 768])
[138/1319] Label=Money & Pricing              Expected=180.0, Predicted=180.0, Correct=True, Latent shape=torch.Size([6, 768])
[139/1319] Label=Rates & Speed                Expected=55.0, Predicted=55.0, Correct=True, Latent shape=torch.Size([6, 768])
[140/1319] Label=Percentages & Ratios         Expected=17500.0, Predicted=15750.0, Correct=False, Latent shape=torch.Size([6, 768])
[141/1319] Label=Arithmetic & Multi-step      Expected=16.0, Predicted=26.0, Correct=False, Latent shape=torch.Size([6, 768])
[142/1319] Label=Percentages & Ratios         Expected=16.0, Predicted=1500.0, Correct=False, Latent shape=torch.Size([6, 768])
[143/1319] Label=Money & Pricing              Expected=93.0, Predicted=93.0, Correct=True, Latent shape=torch.Size([6, 768])
[144/1319] Label=Arithmetic & Multi-step      Expected=92.0, Predicted=72.0, Correct=False, Latent shape=torch.Size([6, 768])
[145/1319] Label=Fractions & Decimals         Expected=25.0, Predicted=7.5, Correct=False, Latent shape=torch.Size([6, 768])
[146/1319] Label=Arithmetic & Multi-step      Expected=240.0, Predicted=360.0, Correct=False, Latent shape=torch.Size([6, 768])
[147/1319] Label=Arithmetic & Multi-step      Expected=3.0, Predicted=3.0, Correct=True, Latent shape=torch.Size([6, 768])
[148/1319] Label=Arithmetic & Multi-step      Expected=12.0, Predicted=12.0, Correct=True, Latent shape=torch.Size([6, 768])
[149/1319] Label=Rates & Speed                Expected=36.0, Predicted=36.0, Correct=True, Latent shape=torch.Size([6, 768])
[150/1319] Label=Percentages & Ratios         Expected=34.0, Predicted=12.0, Correct=False, Latent shape=torch.Size([6, 768])
[151/1319] Label=Geometry                     Expected=170.0, Predicted=40.0, Correct=False, Latent shape=torch.Size([6, 768])
[152/1319] Label=Money & Pricing              Expected=1.0, Predicted=-19.0, Correct=False, Latent shape=torch.Size([6, 768])
[153/1319] Label=Arithmetic & Multi-step      Expected=4.0, Predicted=3.6, Correct=False, Latent shape=torch.Size([6, 768])
[154/1319] Label=Arithmetic & Multi-step      Expected=16.0, Predicted=2.0, Correct=False, Latent shape=torch.Size([6, 768])
[155/1319] Label=Money & Pricing              Expected=36.0, Predicted=16.0, Correct=False, Latent shape=torch.Size([6, 768])
[156/1319] Label=Arithmetic & Multi-step      Expected=220.0, Predicted=180.0, Correct=False, Latent shape=torch.Size([6, 768])
[157/1319] Label=Money & Pricing              Expected=50.0, Predicted=33.33, Correct=False, Latent shape=torch.Size([6, 768])
[158/1319] Label=Rates & Speed                Expected=18.0, Predicted=90.0, Correct=False, Latent shape=torch.Size([6, 768])
[159/1319] Label=Arithmetic & Multi-step      Expected=50.0, Predicted=50.0, Correct=True, Latent shape=torch.Size([6, 768])
[160/1319] Label=Arithmetic & Multi-step      Expected=48.0, Predicted=16.0, Correct=False, Latent shape=torch.Size([6, 768])
[161/1319] Label=Money & Pricing              Expected=4.0, Predicted=24.0, Correct=False, Latent shape=torch.Size([6, 768])
[162/1319] Label=Fractions & Decimals         Expected=40.0, Predicted=40.0, Correct=True, Latent shape=torch.Size([6, 768])
[163/1319] Label=Arithmetic & Multi-step      Expected=310.0, Predicted=310.0, Correct=True, Latent shape=torch.Size([6, 768])
[164/1319] Label=Percentages & Ratios         Expected=1170.0, Predicted=630.0, Correct=False, Latent shape=torch.Size([6, 768])
[165/1319] Label=Money & Pricing              Expected=8.0, Predicted=6.0, Correct=False, Latent shape=torch.Size([6, 768])
[166/1319] Label=Multiplication & Division    Expected=20.0, Predicted=33.0, Correct=False, Latent shape=torch.Size([6, 768])
[167/1319] Label=Money & Pricing              Expected=32.0, Predicted=64.0, Correct=False, Latent shape=torch.Size([6, 768])
[168/1319] Label=Money & Pricing              Expected=140.0, Predicted=140.0, Correct=True, Latent shape=torch.Size([6, 768])
[169/1319] Label=Percentages & Ratios         Expected=50.0, Predicted=66.67, Correct=False, Latent shape=torch.Size([6, 768])
[170/1319] Label=Money & Pricing              Expected=150.0, Predicted=150.0, Correct=True, Latent shape=torch.Size([6, 768])
[171/1319] Label=Money & Pricing              Expected=300.0, Predicted=300.0, Correct=True, Latent shape=torch.Size([6, 768])
[172/1319] Label=Fractions & Decimals         Expected=6.0, Predicted=4.0, Correct=False, Latent shape=torch.Size([6, 768])
[173/1319] Label=Percentages & Ratios         Expected=9.0, Predicted=9.0, Correct=True, Latent shape=torch.Size([6, 768])
[174/1319] Label=Percentages & Ratios         Expected=12.0, Predicted=60.0, Correct=False, Latent shape=torch.Size([6, 768])
[175/1319] Label=Percentages & Ratios         Expected=320.0, Predicted=480.0, Correct=False, Latent shape=torch.Size([6, 768])
[176/1319] Label=Arithmetic & Multi-step      Expected=70.0, Predicted=70.0, Correct=True, Latent shape=torch.Size([6, 768])
[177/1319] Label=Geometry                     Expected=826.0, Predicted=590.0, Correct=False, Latent shape=torch.Size([6, 768])
[178/1319] Label=Percentages & Ratios         Expected=500.0, Predicted=8.82, Correct=False, Latent shape=torch.Size([6, 768])
[179/1319] Label=Percentages & Ratios         Expected=109.0, Predicted=25.0, Correct=False, Latent shape=torch.Size([6, 768])
[180/1319] Label=Money & Pricing              Expected=9.0, Predicted=9.0, Correct=True, Latent shape=torch.Size([6, 768])
[181/1319] Label=Rates & Speed                Expected=50.0, Predicted=16.0, Correct=False, Latent shape=torch.Size([6, 768])
[182/1319] Label=Percentages & Ratios         Expected=6.0, Predicted=6.0, Correct=True, Latent shape=torch.Size([6, 768])
[183/1319] Label=Fractions & Decimals         Expected=7.0, Predicted=7.0, Correct=True, Latent shape=torch.Size([6, 768])
[184/1319] Label=Arithmetic & Multi-step      Expected=54.0, Predicted=58.0, Correct=False, Latent shape=torch.Size([6, 768])
[185/1319] Label=Percentages & Ratios         Expected=133.0, Predicted=133.0, Correct=True, Latent shape=torch.Size([6, 768])
[186/1319] Label=Money & Pricing              Expected=104.0, Predicted=64.0, Correct=False, Latent shape=torch.Size([6, 768])
[187/1319] Label=Rates & Speed                Expected=13.0, Predicted=11.0, Correct=False, Latent shape=torch.Size([6, 768])
[188/1319] Label=Arithmetic & Multi-step      Expected=27.0, Predicted=13.0, Correct=False, Latent shape=torch.Size([6, 768])
[189/1319] Label=Money & Pricing              Expected=72.0, Predicted=72.0, Correct=True, Latent shape=torch.Size([6, 768])
[190/1319] Label=Arithmetic & Multi-step      Expected=2.0, Predicted=3.0, Correct=False, Latent shape=torch.Size([6, 768])
[191/1319] Label=Fractions & Decimals         Expected=227.0, Predicted=247.0, Correct=False, Latent shape=torch.Size([6, 768])
[192/1319] Label=Arithmetic & Multi-step      Expected=5.0, Predicted=90.0, Correct=False, Latent shape=torch.Size([6, 768])
[193/1319] Label=Arithmetic & Multi-step      Expected=5.0, Predicted=10.0, Correct=False, Latent shape=torch.Size([6, 768])
[194/1319] Label=Rates & Speed                Expected=50.0, Predicted=120.0, Correct=False, Latent shape=torch.Size([6, 768])
[195/1319] Label=Arithmetic & Multi-step      Expected=10.0, Predicted=60.0, Correct=False, Latent shape=torch.Size([6, 768])
[196/1319] Label=Money & Pricing              Expected=1200.0, Predicted=480.0, Correct=False, Latent shape=torch.Size([6, 768])
[197/1319] Label=Percentages & Ratios         Expected=8.0, Predicted=-27.5, Correct=False, Latent shape=torch.Size([6, 768])
[198/1319] Label=Fractions & Decimals         Expected=320.0, Predicted=720.0, Correct=False, Latent shape=torch.Size([6, 768])
[199/1319] Label=Money & Pricing              Expected=54.0, Predicted=66.0, Correct=False, Latent shape=torch.Size([6, 768])
[200/1319] Label=Rates & Speed                Expected=6.0, Predicted=6.0, Correct=True, Latent shape=torch.Size([6, 768])
[201/1319] Label=Rates & Speed                Expected=25.0, Predicted=10.0, Correct=False, Latent shape=torch.Size([6, 768])
[202/1319] Label=Money & Pricing              Expected=1.0, Predicted=3.0, Correct=False, Latent shape=torch.Size([6, 768])
[203/1319] Label=Geometry                     Expected=5.0, Predicted=2.0, Correct=False, Latent shape=torch.Size([6, 768])
[204/1319] Label=Money & Pricing              Expected=243.0, Predicted=295.0, Correct=False, Latent shape=torch.Size([6, 768])
[205/1319] Label=Money & Pricing              Expected=32.0, Predicted=3.0, Correct=False, Latent shape=torch.Size([6, 768])
[206/1319] Label=Arithmetic & Multi-step      Expected=80.0, Predicted=80.0, Correct=True, Latent shape=torch.Size([6, 768])
[207/1319] Label=Arithmetic & Multi-step      Expected=8.0, Predicted=16.0, Correct=False, Latent shape=torch.Size([6, 768])
[208/1319] Label=Rates & Speed                Expected=250.0, Predicted=190.0, Correct=False, Latent shape=torch.Size([6, 768])
[209/1319] Label=Geometry                     Expected=12.0, Predicted=12.0, Correct=True, Latent shape=torch.Size([6, 768])
